Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,13,141,0,7,4,130,8,3,0,0,0,0,AAP,1.21,#87CEEB,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/7),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,390,2,0,0,1,1,1,0,0,0,0,0,ABAP,0.3,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,268,1,0,0,0,1,0,0,0,0,0,0,ABHM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,64,61,0,1,1,60,1,0,0,0,0,0,ABRJP,0.3,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,662,5,0,0,0,5,0,0,0,0,0,0,AINHCP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,144,2,0,0,0,2,0,0,0,0,0,0,AKSMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,920,1,0,0,0,1,0,0,0,0,0,0,ANASP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,929,2,0,0,0,2,0,0,0,0,0,0,ANJUP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,880,28,0,0,0,28,0,0,0,0,0,0,API,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,9011,1,0,0,0,1,0,0,0,0,0,0,ASP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,972,2,0,0,0,2,0,0,0,0,0,0,ASSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,53,2,0,0,0,2,0,0,0,0,0,0,AVIRP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1250,9,0,1,1,8,1,0,0,0,0,0,BASD,0.3,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1365,1,0,0,0,1,0,0,0,0,0,0,BHBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1979,5,0,0,0,5,0,0,0,0,0,0,BHKP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,15869,1,0,0,0,1,0,0,0,0,0,0,BHTYP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1909,3,0,0,0,3,0,0,0,0,0,0,BJHP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,9086,6,0,0,0,6,0,0,0,0,0,0,BJKD(D),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1605,199,89,7,102,83,30,86,30,21,38,2,BJP,30.91,#ff9933,74.79,89 (74.79%),42.7,42.7% (38/89),28.57,28.57% (2/7),28.57
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1917,1,0,0,0,1,0,0,0,0,0,0,BJSTP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1312,4,0,0,0,4,0,0,0,0,0,0,BLSP,0,#0388d6,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1074,21,0,0,1,20,0,1,0,0,0,0,BMUP,0.3,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,2011,12,0,0,1,11,0,1,0,0,0,0,BPCP,0.3,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,2017,1,0,0,0,1,0,0,0,0,0,0,BPULP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1800,3,0,0,0,3,0,0,0,0,0,0,BRPP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1777,21,0,0,0,20,1,0,0,0,0,0,BRSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,16651,189,2,7,23,157,21,11,6,3,0,3,BSP,6.97,#003399,1.68,2 (1.68%),0,0.0% (0/2),42.86,42.86% (3/7),5.71
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,2055,11,0,0,1,10,0,1,2,2,0,0,BTP,0.3,#bddc3e,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),1.9
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1331,62,2,3,3,59,1,2,0,0,0,0,BVHNP,0.91,,1.68,2 (1.68%),0,0.0% (0/2),0,0.0% (0/3),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,1864,80,0,0,2,78,2,0,0,0,0,0,BYS,0.61,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,2444,16,0,0,2,14,1,1,0,0,0,0,CPI,0.61,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,2472,5,0,0,0,5,0,0,0,0,0,0,CPI(ML)(L),0,#9c6f73,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,14635,28,0,0,13,15,6,7,2,2,0,0,CPM,3.94,#991f00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),1.9
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,2884,20,0,1,1,19,1,0,0,0,0,0,DKD,0.3,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,2893,8,0,0,1,7,1,0,0,0,0,0,DSPVAD,0.3,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,3129,1,0,0,0,1,0,0,0,0,0,0,GGP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,3223,1,0,0,0,1,0,0,0,0,0,0,HCP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,10341,3,0,0,0,3,0,0,0,0,0,0,HJP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,3288,2,0,0,0,2,0,0,0,0,0,0,HND,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,3279,4,0,0,0,4,0,0,0,0,0,0,HSS,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,3424,1,0,0,0,1,0,0,0,0,0,0,IIC(R),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,3482,194,17,2,75,101,26,67,53,42,12,0,INC,22.73,#138808,14.29,17 (14.29%),70.59,70.59% (12/17),0,0.0% (0/2),50.48
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,3875,2,0,1,1,1,1,0,0,0,0,0,INCP,0.3,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,10809,830,6,0,74,739,55,36,9,6,0,0,IND,22.42,#808080,5.04,6 (5.04%),0,0.0% (0/6),nan,nan% (0/0),8.57
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,3906,14,0,0,1,13,0,1,0,0,0,0,IPGP,0.3,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,3975,1,0,1,1,0,1,0,0,0,0,0,IVD,0.3,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,4117,1,0,0,0,1,0,0,0,0,0,0,JANADIP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,10979,3,0,0,0,3,0,0,0,0,0,0,JD(S),0,#166F46,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,11002,14,0,2,0,12,1,1,0,0,0,0,JD(U),0,#90f887,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,4007,12,0,0,2,10,2,0,0,0,0,0,JGP,0.61,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,4605,9,1,0,1,8,0,1,0,0,0,0,JNSR,0.3,,0.84,1 (0.84%),0,0.0% (0/1),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,4607,1,0,0,0,1,0,0,0,0,0,0,JWCP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,4850,3,0,0,0,3,0,0,0,0,0,0,KHLKP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,4889,1,0,0,0,1,0,0,0,0,0,0,KJSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5184,11,0,0,0,11,0,0,0,0,0,0,LJD,0,#b7ae02,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5029,7,0,1,1,6,0,1,0,0,0,0,LJP,0.3,#0094DE,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5248,6,0,0,0,6,0,0,0,0,0,0,MHKRP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5355,1,0,0,1,0,1,0,0,0,0,0,MNP,0.3,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5792,1,0,0,0,1,0,0,0,0,0,0,NCP,0,#99003d,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5607,3,0,0,0,3,0,0,0,0,0,0,NFTP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5800,16,0,1,1,15,1,0,0,0,0,0,NPSF,0.3,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5682,8,1,0,1,7,1,0,0,0,0,0,NUZP,0.3,#9fd529,0.84,1 (0.84%),0,0.0% (0/1),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5844,12,0,0,0,12,0,0,0,0,0,0,NYBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,5953,2,0,0,1,1,1,0,0,0,0,0,PCHP,0.3,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,16650,1,0,0,0,1,0,0,0,0,0,0,PLBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,6054,6,0,0,0,6,0,0,0,0,0,0,PPID,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,6232,2,0,0,0,2,0,0,0,0,0,0,PTSS,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,6567,3,0,0,0,3,0,0,0,0,0,0,RAJPA,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,6426,2,0,0,0,2,0,0,0,0,0,0,RAYP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,6312,4,0,0,0,4,0,0,0,0,0,0,RJANP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,12157,2,0,0,0,1,0,1,0,0,0,0,RKSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,12169,2,0,0,0,1,1,0,1,1,0,0,RLD,0,#0B6F2F,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0.95
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,6607,3,0,0,0,3,0,0,0,0,0,0,RMKP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,12285,13,0,2,1,11,1,1,0,0,0,0,RPI(A),0.3,#1c0ea0,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,7160,1,0,0,1,0,0,1,0,0,0,0,RPI(R),0.3,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,6792,3,0,0,0,3,0,0,0,0,0,0,RSPS,0,#3a4d83,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,6841,2,0,0,0,2,0,0,0,0,0,0,RSVP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,6715,58,1,5,5,52,2,4,2,2,1,0,RaLtP,1.52,#fab802,0.84,1 (0.84%),100,100.0% (1/1),0,0.0% (0/5),1.9
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,17026,3,0,0,0,3,0,0,0,0,0,0,SAD(A)(SSM),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,7985,3,0,0,0,3,0,0,0,0,0,0,SDPI,0,#84df33,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,18691,37,0,0,2,33,4,0,0,0,0,0,SHS,0.61,#EA5A03,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,7425,5,0,1,4,1,1,3,0,0,0,0,SP,1.21,#990000,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,12553,1,0,0,0,1,0,0,0,0,0,0,SP(MP),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,7718,1,0,0,0,1,0,0,0,0,0,0,SRVSD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,8172,2,0,0,0,2,0,0,0,0,0,0,SWI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,8407,1,0,0,0,1,0,0,0,0,0,0,UNP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,8529,1,0,0,0,1,0,0,0,0,0,0,WPOI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1000,5,0,0,0,5,0,0,0,0,0,0,AAP,0,#87CEEB,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,237,1,0,0,0,1,0,0,0,0,0,0,ABCD(A),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,268,1,0,0,0,1,0,0,0,0,0,0,ABHM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,3040,2,0,0,0,2,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,390,10,0,1,1,9,1,0,0,0,0,0,AKBAP,0.23,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,9011,1,0,0,0,1,0,0,0,0,0,0,ASP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1250,35,0,5,6,29,5,1,0,0,0,0,BA S D,1.36,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/5),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1365,14,0,0,1,13,1,0,0,0,0,0,BHBP,0.23,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1640,2,0,0,0,2,0,0,0,0,0,0,BHJD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,2016,4,0,0,0,4,0,0,0,0,0,0,BHPJP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1840,2,0,0,0,2,0,0,0,0,0,0,BHSMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1605,200,66,8,120,62,55,83,69,46,56,6,BJP,27.15,#ff9933,41.51,66 (41.51%),84.85,84.85% (56/66),75,75.0% (6/8),76.67
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,16966,6,0,0,1,5,1,0,0,0,0,0,BNNP,0.23,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1800,1,0,0,0,1,0,0,0,0,0,0,BRPP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1777,3,0,0,0,3,0,0,0,0,0,0,BRSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1267,1,0,0,0,1,0,0,0,0,0,0,BSDL,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,16651,195,0,8,24,162,28,5,3,3,0,0,BSP,5.43,#003399,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/8),3.33
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,1864,103,0,5,7,94,7,2,0,0,0,0,BYS,1.58,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/5),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,2444,23,0,0,4,16,5,2,0,0,0,0,CPI,0.9,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,2472,5,0,0,1,2,0,3,0,0,0,0,CPI(ML)(L),0.23,#9c6f73,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,14635,38,3,1,13,23,6,9,0,0,0,0,CPM,2.94,#991f00,1.89,3 (1.89%),0,0.0% (0/3),0,0.0% (0/1),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,10341,2,0,1,2,0,0,2,0,0,0,0,HJP,0.45,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,3430,2,0,0,1,1,1,0,0,0,0,0,IJP,0.23,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,3482,200,81,7,118,75,53,72,12,5,7,4,INC,26.7,#138808,50.94,81 (50.94%),8.64,8.64% (7/81),57.14,57.14% (4/7),13.33
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,10809,758,6,0,89,639,77,42,2,0,3,0,IND,20.14,#808080,3.77,6 (3.77%),50,50.0% (3/6),nan,nan% (0/0),2.22
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,3906,27,0,2,2,24,3,0,0,0,0,0,IPGP,0.45,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,3952,1,0,0,0,1,0,0,0,0,0,0,IUML,0,#006600,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,3975,1,0,1,0,0,1,0,0,0,0,0,IVD,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,4012,2,0,0,0,2,0,0,0,0,0,0,JBSP,0,#53e0f3,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,10979,6,0,1,2,3,1,2,0,0,0,0,JD(S),0.45,#166F46,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,11002,15,1,0,3,12,2,1,0,0,0,0,JD(U),0.68,#90f887,0.63,1 (0.63%),0,0.0% (0/1),nan,nan% (0/0),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,4007,85,0,1,3,81,3,1,0,0,0,0,JGP,0.68,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,4079,4,0,0,0,4,0,0,0,0,0,0,JKNPP,0,#3f1a6e,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
