Unnamed: 0,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AAAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,,1.0,1.0
ABLTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
AD,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,
ADAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
ADC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
ADK,,,,,,,,,,,,,,,,18.0,17.0,14.0,2.0,2.0,3.0,3.0,12.0,9.0,9.0,8.0,7.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
ADMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,17.0,10.0,10.0,9.0,9.0,8.0,,,,,,9.0,9.0,7.0,5.0,5.0,33.0,30.0,26.0,26.0,21.0,1.0,1.0
ADS,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,4.0,2.0,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
AHL,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
AIFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,
AIIC(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
AIIC(T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AIMIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,2.0,2.0
AINRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
AIRJP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
AITC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,8.0,7.0,7.0,1.0,1.0,,,,18.0,18.0,17.0,14.0,14.0,29.0,27.0,25.0,25.0,24.0,21.0,21.0
AIUDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0
AJSUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
ASDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AUDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
BAC,,,,,,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
BJD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,8.0,7.0,4.0,4.0,11.0,9.0,6.0,2.0,2.0,13.0,13.0,9.0,8.0,7.0,17.0,15.0,13.0,13.0,10.0,12.0,12.0
BJP,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,85.0,85.0,117.0,112.0,99.0,97.0,93.0,152.0,142.0,176.0,182.0,162.0,148.0,112.0,109.0,121.0,105.0,84.0,44.0,42.0,114.0,114.0,99.0,86.0,70.0,253.0,233.0,193.0,193.0,152.0,297.0,276.0
BJS,,,,,,24.0,21.0,20.0,17.0,21.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKD,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
BLD,,,,,,,,,,,,,,,,295.0,253.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,
BOPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
BSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,9.0,9.0,5.0,14.0,14.0,13.0,13.0,13.0,18.0,18.0,17.0,14.0,14.0,21.0,21.0,20.0,18.0,16.0,,,,,,10.0,9.0
BVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
Bhartiya Janta Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
CPI,29.0,25.0,23.0,20.0,20.0,18.0,16.0,16.0,15.0,21.0,15.0,15.0,15.0,15.0,15.0,7.0,2.0,2.0,12.0,12.0,11.0,11.0,6.0,3.0,3.0,3.0,3.0,12.0,12.0,13.0,13.0,13.0,11.0,11.0,12.0,12.0,9.0,4.0,3.0,2.0,1.0,1.0,10.0,9.0,8.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
CPI(M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
CPI(ML)(L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
CPM,,,,,,16.0,13.0,12.0,8.0,25.0,19.0,19.0,19.0,19.0,19.0,22.0,20.0,19.0,32.0,30.0,28.0,28.0,22.0,18.0,18.0,16.0,16.0,33.0,33.0,31.0,30.0,29.0,28.0,28.0,29.0,26.0,30.0,33.0,32.0,30.0,25.0,25.0,40.0,35.0,25.0,16.0,12.0,15.0,15.0,14.0,12.0,10.0,9.0,9.0,5.0,5.0,2.0,3.0,3.0
DMK,7.0,6.0,5.0,5.0,5.0,20.0,15.0,14.0,12.0,23.0,14.0,14.0,14.0,14.0,14.0,2.0,2.0,2.0,12.0,10.0,8.0,8.0,2.0,,,,,,,,,,,,17.0,13.0,5.0,12.0,12.0,11.0,6.0,6.0,15.0,13.0,8.0,5.0,4.0,18.0,18.0,15.0,15.0,11.0,,,,,,24.0,24.0
FB,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBL,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
GNLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJC(BL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
HJCBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
HLC,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLD(R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
HLS,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMS,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
HVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ICJ,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS(SCS),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
IFDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
INC,361.0,326.0,298.0,281.0,281.0,231.0,198.0,185.0,158.0,335.0,236.0,236.0,236.0,236.0,236.0,154.0,129.0,119.0,,1.0,4.0,4.0,404.0,331.0,332.0,312.0,271.0,197.0,197.0,219.0,211.0,189.0,183.0,177.0,136.0,119.0,133.0,114.0,106.0,94.0,64.0,63.0,132.0,121.0,88.0,54.0,53.0,204.0,204.0,171.0,147.0,128.0,41.0,40.0,30.0,31.0,28.0,50.0,45.0
INC(I),,,,,,,,,,,,,,,,,3.0,5.0,306.0,264.0,225.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INC(U),,,,,,,,,,,,,,,,,,,10.0,8.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,20.0,19.0,16.0,15.0,15.0,27.0,23.0,23.0,22.0,13.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,5.0,11.0,11.0,9.0,8.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,6.0,6.0,5.0,4.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,9.0,9.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0
INLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,
IPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0
J.V.M (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
JAP,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JD,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,143.0,55.0,53.0,48.0,48.0,47.0,42.0,35.0,6.0,,,,,,,,,,,,,,,,,,,,,,
JD(B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
JD(G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
JD(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JD(U),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,18.0,15.0,11.0,11.0,6.0,6.0,5.0,4.0,4.0,20.0,20.0,18.0,15.0,14.0,2.0,2.0,1.0,1.0,1.0,16.0,16.0
